,DayNight,DayNumber,Depth,sp6,sp7,Balistidae Balistapus undulatus,Balistidae Sufflamen sp1,Fistulariidae Fistularia commersonii,Holocentridae Myripristis violacea,Labridae  sp1,Lethrinidae  sp1,Lutjanidae Lutjanus monostigma,Mullidae Parupeneus multifasciatus,Nemipteridae Scolopsis sp3,Pomacanthidae Centropyge sp1,Pomacentridae Amblyglyphidodon aureus,Pomacentridae Chromis sp1,Pomacentridae Dascyllus trimaculatus,Pomacentridae Neoglyphidodon melas,Pomacentridae Pomacentrus moluccensis,Zanclidae Zanclus cornutus,Cumulative,Richness,
64,Day,4,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,3,8,4,8
68,Day,1,20,0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,0,0,0,10,4,8
32,Day,3,30,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,4,0,1,13,7,10
79,Day,4,30,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,11,4,10
2,Day,3,25,0,0,1,1,0,0,7,1,0,0,0,0,0,0,1,0,0,1,17,9,12
29,Day,3,15,0,0,1,0,0,0,4,0,0,0,0,3,0,0,2,1,1,0,13,7,12
30,Day,3,35,0,0,1,1,0,0,0,1,0,0,0,3,0,3,0,3,0,0,14,8,12
3,Day,2,15,0,0,0,1,0,0,4,1,0,0,0,0,2,2,0,0,6,1,43,11,17
31,Day,4,10,0,0,2,1,0,4,4,0,0,2,0,0,0,0,3,0,2,0,35,12,18
17,Day,1,5,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,22,2,0,88,17,27
24,Day,4,15,0,0,0,0,0,0,16,0,0,2,0,2,0,3,3,2,3,1,37,13,32
21,Day,3,5,0,0,1,0,0,1,12,1,0,0,0,0,0,0,0,8,17,1,53,12,41
19,Day,4,5,0,0,0,1,0,5,9,0,0,1,0,0,0,0,0,4,21,1,48,12,42
